MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
57240.403827,-21.497,3.8,-9,35,o,0,0.62,282.18089,33.08094,10324.46,8002.34,3.97,3.31,-89.9,-0.453,19.09,20.78,02a57240o0066o
57300.253165,-22.802,17.5,-3,48,o,0,0.81,282.18089,33.08094,801.6,8016.95,4.18,3.65,-52.7,-0.444,18.51,20.01,02a57300o0133o
57300.255059,19.208,0.588,75,44,o,0,1.06,282.18089,33.08094,10350.5,8017.25,4.55,3.67,86.4,-0.485,18.6,20.11,02a57300o0139o
57302.259398,19.866,0.824,41,34,o,0,0.75,282.18089,33.08094,10334.98,8017.47,5.01,3.74,87.7,-0.468,19.04,20.76,02a57302o0116o
57314.231096,-21.001,1.812,-14,26,c,0,0.83,282.18089,33.08094,2240.29,6533.55,4.44,3.61,-63.5,-0.458,19.1,20.83,02a57314o0054c
57314.252217,20.201,0.824,30,25,c,0,1.1,282.18089,33.08094,2238.55,6532.66,4.4,3.57,-60.1,-0.45,19.08,20.79,02a57314o0086c
57314.271044,-20.244,0.893,-29,26,c,0,0.99,282.18089,33.08094,775.47,8025.62,4.92,3.83,-58.6,-0.464,18.99,20.72,02a57314o0115c
57314.272462,19.713,0.609,47,29,c,0,0.79,282.18089,33.08094,10328.42,8032.33,5.04,3.79,85.5,-0.444,19.05,20.78,02a57314o0117c
57314.295025,-20.581,1.19,-21,25,c,0,0.97,282.18089,33.08094,773.53,8027.03,4.89,3.73,-57.9,-0.454,18.96,20.63,02a57314o0149c
57314.29631,20.184,0.833,31,26,c,0,1.0,282.18089,33.08094,10323.28,8034.17,5.0,3.81,84.3,-0.429,19.02,20.72,02a57314o0151c
57315.212764,19.857,1.75,41,72,c,0,0.88,282.18089,33.08094,2239.58,6536.16,4.45,3.44,-66.0,-0.505,17.99,19.28,02a57315o0042c
57315.226891,-23.44,45.0,-2,69,c,0,1.07,282.18089,33.08094,2234.13,6535.55,4.52,3.49,-66.9,-0.478,17.92,19.08,02a57315o0064c
57315.245591,-19.44,0.579,-61,35,c,0,1.07,282.18089,33.08094,768.23,8028.95,4.77,3.51,-65.1,-0.442,18.69,20.11,02a57315o0093c
57315.247514,21.617,4.571,8,37,c,0,1.04,282.18089,33.08094,10319.99,8034.12,5.17,3.85,84.9,-0.458,18.71,20.23,02a57315o0096c
57315.264419,-19.188,0.59,-77,45,c,0,0.97,282.18089,33.08094,769.93,8027.42,4.93,3.71,-59.8,-0.463,18.39,19.81,02a57315o0122c
57315.266378,-19.718,0.846,-47,40,c,0,1.21,282.18089,33.08094,10321.82,8033.67,5.08,3.78,85.0,-0.45,18.56,19.98,02a57315o0125c
57316.252943,0.0,20.222,0,30,c,0,1.28,282.18089,33.08094,754.88,8025.06,4.86,3.73,-61.1,-0.464,18.78,20.2,02a57316o0074c
57316.254901,19.014,0.356,90,32,c,0,1.14,282.18089,33.08094,10305.86,8029.23,5.08,3.89,84.0,-0.441,18.8,20.25,02a57316o0077c
57316.26854,-19.647,0.714,-50,36,c,0,0.96,282.18089,33.08094,757.62,8025.77,4.93,3.77,-59.5,-0.465,18.72,20.16,02a57316o0098c
57316.271164,-20.166,1.069,-31,33,c,0,1.05,282.18089,33.08094,10309.75,8031.58,5.18,3.88,85.9,-0.437,18.75,20.22,02a57316o0102c
57319.209518,20.048,1.429,35,50,o,0,0.95,282.18089,33.08094,2309.73,6544.41,3.91,3.15,-60.1,-0.508,18.41,19.56,02a57319o0049o
57319.217464,-21.281,4.545,-11,51,o,0,1.04,282.18089,33.08094,2306.49,6540.44,4.08,3.15,-62.8,-0.528,18.41,19.59,02a57319o0061o
57319.240868,20.871,3.0,16,49,o,0,0.8,282.18089,33.08094,836.01,8030.02,4.75,3.23,-62.9,-0.461,18.4,19.54,02a57319o0096o
57319.242808,-19.019,0.6,-90,54,o,0,0.92,282.18089,33.08094,10386.02,8040.16,5.13,3.39,84.4,-0.441,18.41,19.55,02a57319o0099o
57319.271354,20.164,1.7,31,53,o,0,0.85,282.18089,33.08094,833.95,8030.2,4.72,3.17,-63.9,-0.46,18.34,19.41,02a57319o0142o
57319.27402,20.375,1.955,26,50,o,0,1.04,282.18089,33.08094,10383.09,8041.22,5.0,3.51,84.1,-0.489,18.35,19.44,02a57319o0146o
57324.192924,21.143,7.846,13,99,o,0,1.2,282.18089,33.08094,2340.52,6547.46,4.32,3.46,-71.2,-0.523,17.51,17.81,02a57324o0037o
57324.203392,19.883,1.0,40,40,o,0,0.95,282.18089,33.08094,2337.42,6547.82,4.37,3.62,-69.5,-0.483,18.66,20.11,02a57324o0053o
57324.215243,19.928,0.795,39,31,o,0,1.4,282.18089,33.08094,10423.44,8048.22,4.46,3.46,77.4,-0.497,18.87,20.42,02a57324o0071o
57324.21907,19.758,0.905,45,41,o,0,0.82,282.18089,33.08094,870.11,8038.62,4.62,3.48,-65.2,-0.452,18.79,20.31,02a57324o0077o
57324.235587,22.126,9.0,5,46,o,0,0.83,282.18089,33.08094,10422.3,8048.07,4.71,3.37,80.6,-0.466,18.53,19.78,02a57324o0102o
57324.240704,20.134,1.655,32,53,o,0,0.87,282.18089,33.08094,866.18,8037.69,4.7,3.46,-65.0,-0.449,18.4,19.59,02a57324o0110o
57327.225933,18.115,0.253,206,52,o,0,1.14,282.18089,33.08094,2363.67,6552.09,4.47,3.35,-73.7,-0.517,18.68,20.19,02a57327o0078o
57327.245092,20.594,2.053,21,43,o,0,0.87,282.18089,33.08094,2353.64,6556.65,4.5,3.28,-69.7,-0.467,18.6,20.08,02a57327o0104o
57327.25535,-22.997,19.5,-2,45,o,0,0.86,282.18089,33.08094,10442.9,8059.9,5.0,3.5,81.7,-0.512,18.6,20.08,02a57327o0120o
57327.270375,20.962,3.333,15,50,o,0,0.96,282.18089,33.08094,897.74,8047.55,5.11,3.29,-71.3,-0.468,18.55,20.01,02a57327o0143o
57327.277351,-21.342,4.556,-10,48,o,0,0.86,282.18089,33.08094,10448.3,8060.81,5.11,3.57,80.1,-0.486,18.57,20.05,02a57327o0154o
57487.584219,20.41,0.716,25,18,c,0,0.92,282.18089,33.08094,8533.65,3897.06,3.88,3.64,64.0,-0.441,19.53,21.48,02a57487o0704c
57487.608607,-21.005,2.182,-14,31,c,0,0.79,282.18089,33.08094,8829.5,4481.24,3.73,3.67,-45.9,-0.429,19.09,21.27,02a57487o0744c
57487.629463,22.718,5.333,3,16,c,0,0.95,282.18089,33.08094,7656.1,5068.18,3.75,3.45,78.4,-0.425,19.49,21.35,02a57487o0777c
57513.528099,-21.676,2.0,-8,16,c,0,1.1,282.18089,33.08094,8427.91,5015.96,3.91,3.51,78.4,-0.443,19.59,21.61,02a57513o0603c
57513.530518,20.609,0.721,21,15,c,0,1.1,282.18089,33.08094,8442.9,5054.57,3.85,3.43,78.1,-0.447,19.6,21.61,02a57513o0608c
57513.544345,22.964,6.571,2,16,c,0,0.67,282.18089,33.08094,8378.81,4977.81,3.82,3.47,79.0,-0.437,19.63,21.69,02a57513o0632c
57513.558889,20.954,1.0,15,15,c,0,0.85,282.18089,33.08094,8358.22,5094.5,3.76,3.33,80.8,-0.446,19.67,21.69,02a57513o0658c
57513.582632,-20.329,0.549,-27,15,c,0,0.95,282.18089,33.08094,8405.07,5033.59,3.81,3.4,78.1,-0.433,19.65,21.67,02a57513o0700c
57524.506473,-20.627,1.73,-20,35,o,0,1.09,282.18089,33.08094,7317.99,4458.46,3.61,3.35,80.1,-0.468,18.43,19.74,02a57524o0447o
57524.510097,-19.556,1.273,-55,70,o,0,1.14,282.18089,33.08094,7326.51,4495.2,3.52,3.21,82.4,-0.484,17.81,18.97,02a57524o0454o
57524.52272,-19.396,0.786,-63,50,o,0,0.9,282.18089,33.08094,7282.69,4417.37,3.57,3.28,82.0,-0.475,18.35,19.79,02a57524o0477o
57524.544007,19.78,0.516,44,23,o,0,0.87,282.18089,33.08094,7248.35,4532.19,3.62,3.35,80.3,-0.468,19.12,20.7,02a57524o0515o
57524.560713,18.395,0.399,159,64,o,0,2.08,282.18089,33.08094,7294.41,4474.25,3.67,3.43,77.5,-0.464,18.21,19.65,02a57524o0545o
57528.490401,21.753,6.786,7,49,o,0,0.95,282.18089,33.08094,9305.31,2725.86,4.4,3.94,49.2,-0.483,18.38,19.36,02a57528o0509o
57528.507433,19.837,1.09,42,46,o,0,0.95,282.18089,33.08094,9327.15,2766.84,4.18,3.72,54.9,-0.502,18.45,19.4,02a57528o0542o
57528.517286,-19.855,0.975,-42,40,o,0,1.08,282.18089,33.08094,9260.62,2688.63,4.46,3.97,51.1,-0.476,18.4,19.42,02a57528o0560o
57528.538775,18.367,0.3,163,49,o,0,1.1,282.18089,33.08094,9241.07,2804.99,4.11,3.57,53.5,-0.509,18.49,19.45,02a57528o0599o
57528.545383,-21.787,6.133,-7,43,o,0,0.92,282.18089,33.08094,9293.16,2743.44,4.19,3.67,46.8,-0.504,18.51,19.47,02a57528o0611o
57532.493277,21.17,3.4,12,42,o,0,1.08,282.18089,33.08094,8020.88,2314.23,4.22,3.76,22.6,-0.514,18.52,19.59,02a57532o0463o
57532.512446,20.419,1.792,25,44,o,0,0.82,282.18089,33.08094,8039.07,2348.09,4.12,3.62,22.2,-0.516,18.57,19.64,02a57532o0497o
57532.524235,19.885,0.932,40,38,o,0,1.13,282.18089,33.08094,7989.0,2270.99,4.07,3.57,21.7,-0.53,18.59,19.65,02a57532o0519o
57532.531377,-20.446,1.683,-24,40,o,0,0.85,282.18089,33.08094,2563.67,8146.12,3.8,3.35,-65.1,-0.484,18.61,19.63,02a57532o0533o
57532.539406,19.441,0.589,61,36,o,0,1.19,282.18089,33.08094,2527.1,8205.52,3.9,3.51,-61.5,-0.466,18.57,19.63,02a57532o0548o
57542.475477,-22.894,6.857,-2,17,c,0,0.84,282.18089,33.08094,7607.06,4876.41,3.84,3.56,80.3,-0.441,19.6,21.67,02a57542o0476c
57542.484506,20.743,0.904,18,16,c,0,0.76,282.18089,33.08094,7628.02,4913.9,3.85,3.52,79.0,-0.434,19.62,21.68,02a57542o0492c
57542.505357,-20.481,0.657,-23,15,c,0,0.93,282.18089,33.08094,7560.29,4835.36,3.8,3.55,73.4,-0.434,19.59,21.61,02a57542o0532c
57542.51259,-20.344,0.548,-26,14,c,0,1.0,282.18089,33.08094,3027.77,5587.26,3.9,3.57,-49.3,-0.442,19.55,21.56,02a57542o0546c
57542.529099,-20.407,0.727,-25,18,c,0,0.78,282.18089,33.08094,2973.06,5645.0,3.8,3.55,-56.1,-0.439,19.47,21.45,02a57542o0575c
57546.477767,-21.297,1.357,-11,15,c,0,1.18,282.18089,33.08094,194.31,5237.7,4.46,3.62,-47.8,-0.391,19.66,21.77,02a57546o0341c
57546.485439,22.828,5.714,3,15,c,0,1.11,282.18089,33.08094,9751.0,5277.83,4.15,3.44,74.6,-0.468,19.73,21.85,02a57546o0356c
57546.494822,-23.174,7.4,-2,14,c,0,1.26,282.18089,33.08094,9683.61,5200.14,4.18,3.52,75.8,-0.46,19.72,21.86,02a57546o0374c
57546.495307,22.587,4.667,3,16,c,0,0.81,282.18089,33.08094,212.59,5270.68,4.25,3.56,-49.9,-0.405,19.69,21.82,02a57546o0375c
57546.506542,21.371,1.5,10,15,c,0,1.01,282.18089,33.08094,147.03,5191.78,4.24,3.56,-46.0,-0.4,19.72,21.84,02a57546o0397c
57546.507995,21.254,1.323,11,15,c,0,0.99,282.18089,33.08094,9669.35,5316.31,4.05,3.39,76.1,-0.466,19.76,21.9,02a57546o0400c
57546.514525,21.695,2.0,8,15,c,0,1.04,282.18089,33.08094,130.8,5305.11,4.23,3.54,-47.2,-0.4,19.73,21.84,02a57546o0412c
57546.529361,21.947,2.636,6,16,c,0,1.29,282.18089,33.08094,10386.53,5287.56,5.0,4.34,29.0,-0.395,19.54,21.85,02a57546o0439c
57550.434847,20.503,0.672,23,15,c,0,1.1,282.18089,33.08094,8547.54,4437.55,4.11,3.6,73.0,-0.457,19.62,21.7,02a57550o0307c
57550.443754,20.412,0.641,25,16,c,0,1.02,282.18089,33.08094,8565.38,4473.14,4.07,3.61,71.7,-0.451,19.64,21.73,02a57550o0324c
57550.461465,20.823,1.022,17,17,c,0,0.77,282.18089,33.08094,8518.28,4399.69,4.01,3.58,73.6,-0.456,19.65,21.75,02a57550o0356c
57550.473593,20.403,0.621,25,16,c,0,1.06,282.18089,33.08094,8495.61,4515.6,4.03,3.6,68.9,-0.447,19.65,21.74,02a57550o0378c
57550.493392,23.235,8.8,2,16,c,0,0.95,282.18089,33.08094,8530.56,4458.32,3.94,3.61,71.8,-0.446,19.63,21.68,02a57550o0413c
57565.434018,-20.606,1.644,-21,34,o,0,1.1,282.18089,33.08094,7990.04,4113.05,3.77,3.37,72.6,-0.485,18.6,19.92,02a57565o0357o
57565.458102,-20.688,1.578,-19,30,o,0,1.15,282.18089,33.08094,2576.13,6398.27,3.76,3.38,-62.1,-0.475,18.67,20.16,02a57565o0398o
57565.466024,19.149,0.372,80,30,o,0,1.01,282.18089,33.08094,2642.21,6477.48,3.7,3.39,-59.6,-0.473,18.8,20.16,02a57565o0414o
57565.480807,-21.071,3.2,-14,43,o,0,0.84,282.18089,33.08094,2658.02,6359.73,3.65,3.28,-71.1,-0.479,18.46,19.55,02a57565o0439o
57565.494296,21.0,2.026,14,29,o,0,0.69,282.18089,33.08094,2623.38,6418.08,3.7,3.35,-70.2,-0.47,18.9,20.33,02a57565o0465o
57569.459158,19.266,0.742,71,53,o,0,0.75,282.18089,33.08094,2769.37,6235.14,3.92,3.6,-51.0,-0.446,18.44,20.14,02a57569o0420o
57569.478538,22.179,3.818,5,19,o,0,1.24,282.18089,33.08094,2785.6,6119.89,4.2,3.54,-76.4,-0.435,19.21,21.11,02a57569o0456o
57569.500004,-17.795,0.513,-277,142,o,0,0.74,282.18089,33.08094,2756.27,6178.13,3.73,3.42,-61.4,-0.465,17.35,18.87,02a57569o0496o
57599.434258,19.708,0.4,48,19,o,0,1.08,282.18089,33.08094,2434.44,7035.46,3.91,3.63,-64.7,-0.445,19.21,20.99,02a57599o0108o
57606.377211,20.99,1.147,15,17,c,0,0.77,282.18089,33.08094,2011.28,5264.36,4.18,3.87,-44.3,-0.421,19.63,21.85,02a57606o0144c
57606.389992,21.296,1.391,11,15,c,0,1.05,282.18089,33.08094,2058.47,5340.14,4.04,3.69,-46.3,-0.432,19.75,21.96,02a57606o0161c
57606.410997,-20.125,0.528,-32,17,c,0,0.83,282.18089,33.08094,2043.92,5281.69,4.15,3.62,-43.0,-0.475,19.71,21.93,02a57606o0186c
57610.354097,19.858,0.592,41,24,o,0,0.89,282.18089,33.08094,2054.44,6378.89,3.88,3.28,-57.0,-0.512,19.17,21.2,02a57610o0228o
57610.365029,-20.364,1.062,-26,28,o,0,0.66,282.18089,33.08094,2038.09,6340.03,3.86,3.28,-56.6,-0.511,19.16,21.19,02a57610o0248o
57610.385859,-20.478,0.949,-23,22,o,0,1.03,282.18089,33.08094,2105.36,6416.3,3.83,3.28,-56.6,-0.514,19.17,21.2,02a57610o0285o
57610.433021,0.0,20.365,0,26,o,0,0.82,282.18089,33.08094,2120.78,6297.98,3.76,3.24,-57.5,-0.52,19.12,21.09,02a57610o0302o
57610.436575,21.152,1.875,13,24,o,0,0.9,282.18089,33.08094,2090.6,6355.92,3.76,3.25,-58.7,-0.518,19.12,21.11,02a57610o0309o
57618.351794,20.785,2.51,18,44,o,0,1.19,282.18089,33.08094,3804.19,6284.45,3.56,3.2,-69.4,-0.488,18.3,19.52,02a57618o0277o
57618.361954,19.465,0.782,59,46,o,0,1.11,282.18089,33.08094,3788.81,6245.24,3.63,3.32,-65.3,-0.474,18.25,19.49,02a57618o0296o
57618.382323,20.431,1.942,24,47,o,0,0.97,282.18089,33.08094,3852.95,6321.77,3.59,3.29,-66.5,-0.478,18.23,19.42,02a57618o0333o
57618.404611,-19.796,1.025,-44,45,o,0,1.34,282.18089,33.08094,3871.45,6204.35,3.62,3.3,-62.8,-0.471,18.19,19.36,02a57618o0372o
57618.408278,-20.26,1.779,-29,51,o,0,1.23,282.18089,33.08094,3839.66,6262.2,3.69,3.35,-61.9,-0.469,18.17,19.35,02a57618o0379o
57622.338769,-20.945,1.5,-15,23,o,0,1.08,282.18089,33.08094,2254.87,6691.67,3.59,3.31,-67.8,-0.481,19.08,20.94,02a57622o0114o
57622.34856,-21.211,2.059,-12,24,o,0,0.79,282.18089,33.08094,3264.11,6635.65,3.53,3.27,-66.8,-0.478,19.03,20.85,02a57622o0131o
57622.370029,20.682,1.527,19,30,o,0,0.74,282.18089,33.08094,3330.27,6711.6,3.5,3.27,-69.9,-0.485,18.92,20.68,02a57622o0168o
57622.391904,-16.808,0.348,-687,239,o,0,1.2,282.18089,33.08094,3346.3,6593.81,3.61,3.36,-64.8,-0.487,16.98,18.29,02a57622o0205o
57622.396107,-17.362,0.761,-412,314,o,0,1.08,282.18089,33.08094,3297.56,6651.24,3.56,3.28,-73.6,-0.481,16.43,17.8,02a57622o0213o
