MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
57302.452088,-17.18,0.926,-488,452,o,0,16.56,64.16321,40.04256,4704.9,10037.36,4.25,3.51,-53.9,-0.469,19.03,20.7,02a57302o0409o
57302.454634,-13.067,0.0,-21542,6,o,0,3001.46,64.16321,40.04256,2053.96,305.18,5.64,3.32,-14.2,-0.452,19.01,20.67,02a57302o0413o
57302.473874,17.712,1.518,299,453,o,0,100.34,64.16321,40.04256,4702.41,10037.16,4.22,3.52,-53.8,-0.464,19.03,20.67,02a57302o0442o
57302.489204,-13.291,0.0,-17524,7,o,0,3331.13,64.16321,40.04256,2056.99,308.85,5.52,3.36,-14.5,-0.453,19.03,20.66,02a57302o0466o
57302.492366,13.749,0.056,11495,648,o,0,297.92,64.16321,40.04256,6213.28,8582.89,3.9,3.27,-72.2,-0.479,19.06,20.67,02a57302o0471o
57302.517741,16.565,1.278,859,1098,o,0,2.93,64.16321,40.04256,6214.72,8585.88,3.93,3.26,-70.9,-0.478,19.04,20.63,02a57302o0511o
57314.488317,13.726,0.001,11738,17,c,0,3907.33,64.16321,40.04256,2128.55,329.63,6.17,3.89,-17.6,-0.455,19.26,21.19,02a57314o0422c
57314.501179,14.931,0.004,3867,16,c,0,1478.52,64.16321,40.04256,2127.89,331.4,6.15,3.81,-17.8,-0.455,19.35,21.27,02a57314o0441c
57316.452476,15.291,0.007,2777,20,c,0,1196.22,64.16321,40.04256,2135.92,322.76,6.38,4.1,-16.6,-0.445,19.36,21.35,02a57316o0371c
57316.455058,15.688,0.024,1926,47,c,0,88.8,64.16321,40.04256,4779.16,10056.48,4.38,3.88,-57.1,-0.418,19.39,21.35,02a57316o0375c
57316.47906,15.003,0.029,3620,105,c,0,61.46,64.16321,40.04256,4774.82,10061.84,4.48,3.89,-58.2,-0.412,19.37,21.31,02a57316o0410c
57316.480337,15.258,0.008,2862,23,c,0,765.67,64.16321,40.04256,2135.39,327.5,6.46,4.15,-17.1,-0.441,19.34,21.3,02a57316o0412c
57316.50064,15.132,0.01,3214,31,c,0,149.9,64.16321,40.04256,6290.75,8603.7,4.17,3.63,-76.4,-0.451,19.37,21.29,02a57316o0442c
57316.517835,15.38,0.012,2558,30,c,0,151.27,64.16321,40.04256,6295.75,8611.54,4.01,3.5,-78.2,-0.462,19.4,21.25,02a57316o0467c
57320.554559,-15.851,0.642,-1658,1065,o,0,5.54,64.16321,40.04256,5930.23,579.31,4.91,3.43,2.2,-0.481,18.54,19.71,02a57320o0528o
57320.557182,17.623,3.416,324,1107,o,0,2.03,64.16321,40.04256,8575.17,10318.0,4.56,3.65,-80.9,-0.477,18.52,19.72,02a57320o0532o
57320.590732,-13.462,0.001,-14968,12,o,0,2589.59,64.16321,40.04256,5918.8,578.73,5.28,3.46,0.9,-0.474,18.62,19.89,02a57320o0584o
57320.594716,18.338,6.293,168,1056,o,0,1.5,64.16321,40.04256,8564.14,10322.12,4.45,3.59,-81.3,-0.498,18.66,19.95,02a57320o0590o
