MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
57232.480694,-19.604,2.078,-52,109,o,0,1.42,2.87006,35.973,6319.68,6807.12,3.68,3.27,-83.5,-0.464,17.71,18.31,02a57232o0297o
57300.361284,-19.182,0.523,-77,40,o,0,2.73,2.87006,35.973,4869.05,8265.69,3.72,3.12,-74.3,-0.484,19.05,20.81,02a57300o0463o
57300.384084,21.998,18.0,6,104,o,0,1.06,2.87006,35.973,4869.44,8274.3,3.81,3.17,-75.3,-0.502,18.91,20.72,02a57300o0533o
57300.410577,18.136,2.432,202,492,o,0,1.12,2.87006,35.973,4251.96,3796.37,3.43,3.17,-37.5,-0.766,18.89,20.69,02a57300o0609o
57300.421699,17.659,1.677,314,526,o,0,0.93,2.87006,35.973,4247.88,3799.86,3.52,3.25,-47.0,-0.776,18.89,20.72,02a57300o0643o
57302.347068,18.421,0.13,155,20,o,0,8.98,2.87006,35.973,4887.4,8265.85,4.25,3.61,-63.7,-0.47,19.15,21.03,02a57302o0250o
57302.378946,19.578,0.349,54,19,o,0,7.69,2.87006,35.973,4883.38,8277.57,4.13,3.47,-67.1,-0.476,19.18,20.99,02a57302o0298o
57302.391528,-18.987,0.234,-92,22,o,0,3.32,2.87006,35.973,6363.23,6826.78,4.04,3.62,-73.4,-0.463,19.15,20.95,02a57302o0316o
57302.420892,22.583,6.5,3,22,o,0,0.98,2.87006,35.973,4236.01,3797.66,4.03,3.48,-32.9,-0.481,19.15,20.9,02a57302o0361o
57314.358699,20.303,0.6,28,16,c,0,4.78,2.87006,35.973,4947.1,8292.71,4.31,3.64,-69.4,-0.447,19.51,21.57,02a57314o0240c
57314.392109,23.253,9.5,2,17,c,0,1.45,2.87006,35.973,5709.31,2353.1,4.63,3.88,-4.9,-0.442,19.52,21.55,02a57314o0286c
57314.4205,-22.619,5.0,-3,16,c,0,1.11,2.87006,35.973,4222.17,3808.27,4.41,3.74,-25.4,-0.429,19.52,21.55,02a57314o0326c
57314.448341,-20.438,0.69,-24,17,c,0,1.15,2.87006,35.973,4207.98,3808.28,4.37,3.85,-25.1,-0.431,19.49,21.54,02a57314o0364c
57316.350144,-19.848,0.519,-42,22,c,0,3.06,2.87006,35.973,4966.7,8299.86,4.29,3.71,-72.2,-0.448,19.05,20.67,02a57316o0219c
57316.368284,-19.043,0.257,-88,23,c,0,2.61,2.87006,35.973,4964.63,8300.29,4.44,3.93,-72.1,-0.429,19.01,20.7,02a57316o0245c
57316.397204,21.679,2.667,8,21,c,0,1.08,2.87006,35.973,4212.33,3808.01,4.49,3.93,-29.6,-0.424,19.1,20.81,02a57316o0288c
