MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1135001068190,18.553,0.142, 2.87047,35.97332,53708.13794,0
1135001068190,18.586,0.144, 2.86858,35.97257,53708.14780,0
1135001068190,18.498,0.139, 2.86954,35.97349,53708.15716,0
1135001068190,18.447,0.136, 2.86834,35.97381,53708.16610,0
1135001068190,18.697,0.150, 2.87025,35.97342,53709.13790,0
1135001068190,18.524,0.139, 2.86938,35.97315,53709.14394,0
1135001068190,18.405,0.132, 2.87015,35.97248,53709.14995,0
1135001068190,18.502,0.140, 2.87040,35.97189,53714.14496,0
1135001068190,18.750,0.158, 2.86888,35.97296,53678.28660,0
1135001068190,18.561,0.151, 2.86861,35.97250,53679.20694,0
1135001068190,18.500,0.147, 2.87069,35.97374,53684.15285,0
1135001068190,18.562,0.143, 2.87161,35.97323,53694.16167,0
1135001068190,18.452,0.137, 2.87085,35.97290,53694.18020,0
1135001068190, 8.927,0.051, 2.87131,35.97184,53695.14654,0
1135001068190,18.400,0.134, 2.87011,35.97317,53674.20637,0
1135001068190,18.076,0.153, 2.87059,35.97437,53643.26726,0
1135001068190,18.483,0.143, 2.87014,35.97257,53643.28399,0
1135001068190,19.255,0.202, 2.86982,35.97319,53768.12082,0
1135001068190,18.758,0.160, 2.86974,35.97372,53768.12566,0
1135001068190,18.946,0.185, 2.87067,35.97399,53744.17718,0
1135001068190,11.611,0.051, 2.86918,35.97383,54060.19177,0
1135001068190,18.799,0.151, 2.86801,35.97187,54060.21272,0
1135001068190,18.307,0.124, 2.86979,35.97182,54031.29335,0
1135001068190,19.445,0.203, 2.86935,35.97238,54037.22854,0
1135001068190,18.713,0.145, 2.86882,35.97166,54037.24209,0
1135001068190,18.546,0.134, 2.87100,35.97305,53995.29669,0
1135001068190,18.456,0.131, 2.87033,35.97345,54003.25022,0
1135001068190,18.615,0.155, 2.86962,35.97353,54265.43273,0
1135001068190,18.495,0.157, 2.87007,35.97269,54407.30693,0
1135001068190,18.632,0.167, 2.87058,35.97324,54407.31240,0
1135001068190,19.595,0.269, 2.86970,35.97301,54407.32328,0
1135001068190,18.616,0.241, 2.87040,35.97330,54414.19776,0
1135001068190, 9.794,0.051, 2.86988,35.97122,54382.28289,0
1135001068190,18.816,0.191, 2.87014,35.97334,55722.40308,0
1135001068190,18.611,0.173, 2.86974,35.97329,55722.40873,0
1135001068190,18.745,0.183, 2.87061,35.97331,55722.41439,0
1135001068190,18.614,0.172, 2.86990,35.97337,55722.41998,0
1135001068190,19.628,0.187, 2.87033,35.97312,55858.28236,0
1135001068190,18.549,0.119, 2.86995,35.97301,55858.31593,0
1135001068190,18.591,0.141, 2.87018,35.97307,55828.23244,0
1135001068190,18.417,0.131, 2.87033,35.97315,55828.23977,0
1135001068190,18.441,0.132, 2.87002,35.97296,55828.25445,0
1135001068190,19.776,0.292, 2.87064,35.97110,55866.23305,0
1135001068190,18.566,0.141, 2.87000,35.97320,55868.10885,0
1135001068190,18.570,0.141, 2.86989,35.97309,55868.11622,0
1135001068190,18.589,0.142, 2.87081,35.97434,55868.12357,0
1135001068190,18.667,0.147, 2.87015,35.97303,55868.13095,0
1135001068190,20.088,0.300, 2.87138,35.97207,55869.06741,0
1135001068190,19.223,0.193, 2.87009,35.97307,55869.07421,0
1135001068190,18.512,0.140, 2.87013,35.97319,55869.08779,0
1135001068190,18.410,0.130, 2.87029,35.97308,55840.16425,0
1135001068190,18.458,0.132, 2.86991,35.97309,55840.17091,0
1135001068190,18.792,0.153, 2.86982,35.97308,55840.17757,0
1135001068190,18.815,0.154, 2.87015,35.97298,55840.18431,0
1135001068190,18.614,0.205, 2.87020,35.97330,55849.38718,0
1135001068190,18.385,0.184, 2.86977,35.97313,55849.39362,0
1135001068190,18.336,0.180, 2.87028,35.97301,55849.40000,0
1135001068190,18.591,0.203, 2.87063,35.97311,55849.40642,0
1135001068190,18.433,0.134, 2.86905,35.97290,55889.21943,0
1135001068190,18.603,0.144, 2.86928,35.97288,55889.22726,0
1135001068190,18.741,0.154, 2.86985,35.97297,55930.15592,0
1135001068190,18.734,0.154, 2.87093,35.97330,55930.16268,0
1135001068190,18.548,0.142, 2.87065,35.97357,55930.16960,0
1135001068190,18.251,0.126, 2.86974,35.97314,55930.17653,0
1135001068190,18.586,0.126, 2.86954,35.97281,55944.12923,0
1135001068190,18.626,0.129, 2.86946,35.97340,55944.14142,0
1135001068190,18.415,0.119, 2.86969,35.97350,55944.14746,0
1135001068190,18.195,0.127, 2.87024,35.97325,56196.16983,0
1135001068190,18.294,0.132, 2.87002,35.97293,56196.17659,0
1135001068190,18.775,0.168, 2.87016,35.97308,56206.29519,0
1135001068190,18.477,0.145, 2.86988,35.97304,56206.30983,0
1135001068190,19.469,0.219, 2.87004,35.97318,56206.31663,0
1135001068190,19.602,0.235, 2.87006,35.97324,56206.32347,0
1135001068190,18.508,0.141, 2.86968,35.97348,56216.26911,0
1135001068190,18.700,0.153, 2.87011,35.97347,56216.27482,0
1135001068190,18.616,0.147, 2.86990,35.97332,56216.28055,0
1135001068190,18.572,0.145, 2.87018,35.97327,56216.28620,0
1135001068190,18.405,0.166, 2.87039,35.97310,56218.16024,0
1135001068190,18.283,0.148, 2.86994,35.97367,56218.16356,0
1135001068190,18.542,0.158, 2.87011,35.97387,56218.16697,0
1135001068190,18.639,0.163, 2.87011,35.97319,56218.17034,0
1135001068190,18.511,0.141, 2.87000,35.97313,56219.22220,0
1135001068190,18.456,0.138, 2.86998,35.97310,56219.22765,0
1135001068190,18.315,0.138, 2.87015,35.97316,56219.23316,0
1135001068190,18.554,0.144, 2.86993,35.97318,56219.23867,0
1135001068190,18.382,0.147, 2.87002,35.97306,56225.17216,0
1135001068190,18.514,0.156, 2.87032,35.97297,56225.18013,0
1135001068190,18.699,0.169, 2.87028,35.97321,56225.18809,0
1135001068190,19.081,0.203, 2.87031,35.97290,56225.19619,0
1135001068190,18.605,0.127, 2.87004,35.97306,56237.25356,0
1135001068190,18.560,0.125, 2.86997,35.97343,56237.26063,0
1135001068190,18.506,0.123, 2.86953,35.97348,56237.26766,0
1135001068190,18.384,0.117, 2.86999,35.97333,56237.27474,0
1135001068190,18.762,0.165, 2.87006,35.97327,56246.16437,0
1135001068190,18.505,0.126, 2.86999,35.97318,56246.17248,0
1135001068190,18.447,0.121, 2.87020,35.97306,56246.18006,0
1135001068190,18.579,0.121, 2.87000,35.97311,56246.18745,0
1135001068190,18.644,0.148, 2.86991,35.97353,56265.06564,0
1135001068190,18.317,0.129, 2.86994,35.97367,56265.06927,0
1135001068190,18.478,0.138, 2.87013,35.97315,56265.07265,0
1135001068190,18.451,0.137, 2.87045,35.97308,56265.07603,0
1135001068190,19.216,0.166, 2.87048,35.97318,56304.12715,0
1135001068190,18.564,0.126, 2.86996,35.97318,56304.13320,0
1135001068190,18.465,0.122, 2.86969,35.97323,56304.13928,0
1135001068190,18.565,0.127, 2.86988,35.97312,56304.14539,0
1135001068190,18.513,0.139, 2.86996,35.97285,55957.10783,0
1135001068190,18.400,0.134, 2.87015,35.97345,55957.11291,0
1135001068190,18.459,0.136, 2.87018,35.97319,55957.11797,0
1135001068190,18.485,0.139, 2.86964,35.97362,55957.12312,0
1135001068190,18.518,0.152, 2.87014,35.97304,56541.44546,0
1135001068190,18.298,0.138, 2.87019,35.97317,56541.44769,0
1135001068190,18.444,0.147, 2.87002,35.97308,56541.44996,0
1135001068190,18.490,0.150, 2.87000,35.97299,56541.45214,0
1135001068190,19.703,0.271, 2.87008,35.97289,56548.22628,0
1135001068190,19.291,0.218, 2.87001,35.97353,56548.23239,0
1135001068190,19.796,0.281, 2.87002,35.97301,56548.23851,0
1135001068190,18.359,0.141, 2.87002,35.97302,56548.24474,0
1135001068190,18.631,0.153, 2.87014,35.97300,56551.27310,0
1135001068190,18.402,0.139, 2.86990,35.97304,56551.27811,0
1135001068190,18.297,0.133, 2.87010,35.97288,56551.28320,0
1135001068190,18.641,0.154, 2.87020,35.97329,56551.28826,0
1135001068190,18.449,0.135, 2.87000,35.97315,56559.36000,0
1135001068190,18.480,0.140, 2.87012,35.97295,56559.36672,0
1135001068190,18.284,0.208, 2.87011,35.97295,56559.37347,0
1135001068190,18.436,0.133, 2.86986,35.97297,56568.24677,0
1135001068190,18.630,0.145, 2.87004,35.97308,56568.25402,0
1135001068190,18.546,0.140, 2.87010,35.97306,56568.26137,0
1135001068190,18.582,0.142, 2.87002,35.97290,56568.26872,0
1135001068190,18.583,0.145, 2.87012,35.97314,56578.24450,0
1135001068190,18.500,0.140, 2.87010,35.97314,56578.25048,0
1135001068190,18.586,0.145, 2.86991,35.97313,56578.25657,0
1135001068190,18.515,0.141, 2.87008,35.97312,56578.26262,0
1135001068190,18.217,0.125, 2.86986,35.97279,56593.30377,0
1135001068190,18.512,0.141, 2.87001,35.97310,56593.30843,0
1135001068190,18.528,0.142, 2.87011,35.97316,56593.31308,0
1135001068190,18.523,0.142, 2.87009,35.97303,56593.31774,0
1135001068190,18.668,0.150, 2.87006,35.97319,56608.19136,0
1135001068190,18.405,0.134, 2.87032,35.97308,56608.19669,0
1135001068190,18.400,0.134, 2.86994,35.97293,56608.20191,0
1135001068190,18.802,0.159, 2.87020,35.97302,56608.20704,0
1135001068190,18.542,0.220, 2.86982,35.97285,56628.12514,0
1135001068190,18.292,0.129, 2.86980,35.97302,56658.09468,0
1135001068190,18.572,0.145, 2.87002,35.97308,56658.10172,0
1135001068190,18.413,0.136, 2.87005,35.97303,56658.10877,0
1135001068190,18.457,0.138, 2.86998,35.97306,56658.11581,0
1135001068190,18.490,0.149, 2.86996,35.97261,56812.42874,0
1135001068190,18.893,0.178, 2.87033,35.97282,56812.43326,0
1135001068190,18.571,0.153, 2.87025,35.97294,56812.43777,0
1135001068190,18.493,0.147, 2.87005,35.97307,56812.44227,0
1135001068190,18.592,0.145, 2.87008,35.97304,56920.24092,0
1135001068190,18.492,0.138, 2.87006,35.97307,56920.24746,0
1135001068190,18.560,0.143, 2.87009,35.97303,56920.25402,0
1135001068190,18.634,0.147, 2.87014,35.97315,56920.26056,0
1135001068190,18.430,0.136, 2.86999,35.97303,56926.38548,0
1135001068190,18.604,0.147, 2.87009,35.97319,56926.39778,0
