MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs,phase,uJy_clip,duJy_plot,uplim
57229.258951,22.064,6.667,5,36,o,0,1.4,195.70711,1.82167,1122.8,3771.44,4.01,3.54,-71.1,-0.454,18.44,19.43,02a57229o0034o,0.49056052636036174,5.0,30.0,True
57229.286953,19.694,0.745,48,36,o,0,1.29,195.70711,1.82167,1110.59,3784.04,4.12,3.73,-56.8,-0.425,18.43,19.53,02a57229o0073o,0.9210558681047497,48.0,30.0,True
57408.597519,23.771,25.333,1,28,o,0,1.22,195.70711,1.82167,10018.7,6422.99,3.81,3.24,85.9,-0.458,18.75,19.92,02a57408o0643o,0.5942717461001663,1.0,28.0,False
57408.598134,-22.758,10.0,-3,29,o,0,1.39,195.70711,1.82167,10313.6,7008.0,3.75,3.17,88.2,-0.444,18.78,19.93,02a57408o0644o,0.6037265933958758,-3.0,29.0,False
57408.630535,-23.545,14.0,-1,19,o,0,1.26,195.70711,1.82167,9400.12,5849.5,3.65,3.14,87.6,-0.465,19.15,20.65,02a57408o0693o,0.10185099761370528,-1.0,19.0,False
57408.651632,-19.975,0.651,-37,24,o,0,0.9,195.70711,1.82167,1638.33,3119.24,4.28,3.51,-37.7,-0.453,19.2,20.7,02a57408o0725o,0.42619069574079105,-37.0,24.0,False
57445.581273,21.4,3.522,10,35,o,0,1.15,195.70711,1.82167,416.12,4377.48,4.29,3.44,-42.8,-0.442,18.58,19.5,02a57445o0730o,0.17272391842080578,10.0,30.0,True
57445.603903,19.73,0.786,47,37,o,0,1.05,195.70711,1.82167,124.03,3792.63,4.5,3.53,-38.6,-0.425,18.53,19.45,02a57445o0771o,0.520631553009878,47.0,30.0,True
57445.617201,-22.532,11.444,-4,40,o,0,1.16,195.70711,1.82167,9835.25,3816.0,3.87,3.27,67.7,-0.497,18.45,19.34,02a57445o0795o,0.7250714877949641,-4.0,30.0,True
57445.62695,-20.862,2.543,-16,42,o,0,1.03,195.70711,1.82167,1297.27,3216.29,4.5,3.5,-31.4,-0.459,18.48,19.37,02a57445o0812o,0.8749500352398543,-16.0,30.0,True
57445.650435,-20.791,2.27,-18,40,o,0,1.18,195.70711,1.82167,1574.72,3100.64,4.48,3.55,-29.7,-0.466,18.4,19.29,02a57445o0853o,0.23600221377760464,-18.0,30.0,True
57464.522804,23.112,11.5,2,24,o,0,1.12,195.70711,1.82167,451.94,3974.58,4.81,3.56,-42.1,-0.447,19.18,20.87,02a57464o0631o,0.37481167165322105,2.0,24.0,False
57464.533322,-20.836,1.486,-17,25,o,0,0.92,195.70711,1.82167,10182.93,3996.01,4.17,3.37,71.5,-0.492,19.28,21.02,02a57464o0651o,0.53651262179275,-17.0,25.0,False
57464.545549,24.59,44.0,0,23,o,0,0.97,195.70711,1.82167,155.74,3392.38,5.08,3.51,-38.0,-0.441,19.25,20.97,02a57464o0674o,0.7244872858652035,0.0,23.0,False
57464.55607,-22.209,4.6,-5,22,o,0,1.19,195.70711,1.82167,9889.95,3414.18,4.16,3.58,62.5,-0.491,19.24,20.97,02a57464o0694o,0.8862343571150183,-5.0,22.0,False
57464.568238,-20.614,1.375,-21,28,o,0,0.75,195.70711,1.82167,1330.39,2815.43,4.78,3.46,-27.1,-0.497,19.18,20.87,02a57464o0717o,0.07330197082087363,-21.0,28.0,False
57464.590716,-19.544,0.432,-55,24,o,0,1.14,195.70711,1.82167,1566.36,3091.86,4.56,3.45,-29.0,-0.488,19.15,20.81,02a57464o0760o,0.4188727976043046,-55.0,24.0,False
57476.497933,-19.58,0.565,-54,30,o,0,1.04,195.70711,1.82167,767.44,3998.89,4.29,3.49,-39.7,-0.464,18.89,20.23,02a57476o0566o,0.47727761880691166,-54.0,30.0,False
57476.520118,-19.875,0.69,-41,28,o,0,1.2,195.70711,1.82167,470.93,3418.57,4.5,3.49,-37.0,-0.444,18.87,20.21,02a57476o0609o,0.8183439411269234,-41.0,28.0,False
57476.53238,-19.374,0.425,-65,28,o,0,1.42,195.70711,1.82167,10205.34,3437.46,4.25,3.58,59.2,-0.491,18.84,20.18,02a57476o0633o,0.006856685900677978,-65.0,28.0,False
57476.54231,-20.128,0.984,-32,32,o,0,1.05,195.70711,1.82167,1646.06,2841.01,4.75,3.8,-24.8,-0.437,18.73,20.15,02a57476o0652o,0.1595178795200802,-32.0,30.0,True
57476.56497,20.085,1.075,34,36,o,0,1.06,195.70711,1.82167,1551.57,3095.58,5.38,4.19,-15.0,-0.381,18.47,19.94,02a57476o0695o,0.5078867262187381,34.0,30.0,True
57493.414775,-21.826,4.75,-7,32,o,0,0.96,195.70711,1.82167,608.25,4066.29,4.61,3.75,-28.0,-0.431,18.67,20.07,02a57493o0395o,0.552332195548324,-7.0,30.0,True
57493.415251,20.385,1.057,26,27,o,0,1.13,195.70711,1.82167,608.16,4066.53,4.42,3.63,-40.1,-0.43,18.82,20.17,02a57493o0396o,0.5596500936676849,26.0,27.0,False
57493.432778,-20.383,1.033,-26,26,o,0,1.24,195.70711,1.82167,10340.54,4083.48,4.01,3.29,71.7,-0.489,18.87,20.13,02a57493o0431o,0.8291055560114222,-26.0,26.0,False
57493.436627,21.478,3.1,9,29,o,0,1.12,195.70711,1.82167,321.23,3480.43,4.43,3.53,-41.6,-0.443,18.85,20.1,02a57493o0439o,0.8882790640000413,9.0,29.0,False
57493.44696,-21.125,2.241,-13,29,o,0,1.09,195.70711,1.82167,1477.31,2906.49,4.24,3.45,-30.5,-0.472,18.85,20.09,02a57493o0460o,0.04713587300219899,-13.0,29.0,False
57493.450643,-20.426,1.3,-24,32,o,0,1.06,195.70711,1.82167,10020.46,3506.06,3.95,3.27,72.6,-0.492,18.88,20.13,02a57493o0467o,0.10375734081516949,-24.0,30.0,True
57493.46592,-20.594,1.311,-21,28,o,0,1.37,195.70711,1.82167,1549.13,3087.21,4.3,3.62,-34.8,-0.455,18.79,20.09,02a57493o0497o,0.3386218982957345,-21.0,28.0,False
57495.351817,20.263,1.828,28,52,o,0,0.89,195.70711,1.82167,9680.18,6631.35,4.37,3.13,83.9,-0.501,18.41,19.36,02a57495o0270o,0.33190357587949726,28.0,30.0,True
57506.446309,-21.121,2.417,-13,31,o,0,0.96,195.70711,1.82167,902.87,3970.64,4.63,3.78,-39.0,-0.432,18.76,20.17,02a57506o0434o,0.8956892044582553,-13.0,30.0,True
57506.464688,-20.326,1.098,-27,30,o,0,1.01,195.70711,1.82167,964.01,3931.95,4.55,3.75,-36.9,-0.449,18.75,20.12,02a57506o0470o,0.17824308941666767,-27.0,30.0,False
57506.482857,19.679,0.637,49,31,o,0,1.13,195.70711,1.82167,885.29,3912.53,4.59,3.73,-37.4,-0.442,18.7,20.01,02a57506o0506o,0.45756848994355576,49.0,30.0,True
57506.501069,21.103,2.545,13,34,o,0,1.15,195.70711,1.82167,981.94,3991.15,4.82,3.97,-35.2,-0.427,18.54,19.88,02a57506o0542o,0.7375549609856049,13.0,30.0,True
