obsmjd,mag_autocorr,magerr_auto,oid,ra,dec,fid,transient_flag,astrometricrms,nobs,ngoodobs,nbestobs,referencemag,referencemagerr,medianmag,bestmedianmag,meanmag,bestmeanmag,magrms,bestmagrms,sid,s_ra,s_dec,ptffield,ccdid,hmjd,nid,mag_auto,limitmag,absphotzp,fwhmsex,fwhm_image,qaflags,flags,photcalflag,goodflag,htm20,cntr,bestastrometricrms,bestchisq,bestcon,bestlineartrend,bestmaxmag,bestmaxslope,bestmedianabsdev,bestminmag,bestnabovemeanbystd_1,bestnabovemeanbystd_3,bestnabovemeanbystd_5,bestnbelowmeanbystd_1,bestnbelowmeanbystd_3,bestnbelowmeanbystd_5,bestnconsecabovemeanbystd_1,bestnconsecabovemeanbystd_3,bestnconsecabovemeanbystd_5,bestnconsecbelowmeanbystd_1,bestnconsecbelowmeanbystd_3,bestnconsecbelowmeanbystd_5,bestnconsecfrommeanbystd_1,bestnconsecfrommeanbystd_3,bestnconsecfrommeanbystd_5,bestnmedianbufferrange,bestnpairposslope,bestpercentiles_05,bestpercentiles_10,bestpercentiles_175,bestpercentiles_25,bestpercentiles_325,bestpercentiles_40,bestpercentiles_60,bestpercentiles_675,bestpercentiles_75,bestpercentiles_825,bestpercentiles_90,bestpercentiles_95,bestskewness,bestsmallkurtosis,beststetsonj,beststetsonk,bestvonneumannratio,bestweightedmagrms,bestweightedmeanmag,chisq,con,lineartrend,maxmag,maxslope,medianabsdev,minmag,nabovemeanbystd_1,nabovemeanbystd_3,nabovemeanbystd_5,nbelowmeanbystd_1,nbelowmeanbystd_3,nbelowmeanbystd_5,nconsecabovemeanbystd_1,nconsecabovemeanbystd_3,nconsecabovemeanbystd_5,nconsecbelowmeanbystd_1,nconsecbelowmeanbystd_3,nconsecbelowmeanbystd_5,nconsecfrommeanbystd_1,nconsecfrommeanbystd_3,nconsecfrommeanbystd_5,nmedianbufferrange,npairposslope,percentiles_05,percentiles_10,percentiles_175,percentiles_25,percentiles_325,percentiles_40,percentiles_60,percentiles_675,percentiles_75,percentiles_825,percentiles_90,percentiles_95,referencemumax,skewness,smallkurtosis,stetsonj,stetsonk,uncalibmeanmag,vonneumannratio,weightedmagrms,weightedmeanmag,x,y,z,zone,s_x,s_y,s_z,pid,s_fid,sextractor,flux_auto,fluxerr_auto,mag_iso,magerr_iso,mag_aper_1,magerr_aper_1,mag_aper_2,magerr_aper_2,mag_aper_3,magerr_aper_3,mag_aper_4,magerr_aper_4,mag_aper_5,magerr_aper_5,mag_petro,magerr_petro,relphotzp,mu_threshold,mu_max,background,threshold,xpeak_image,ypeak_image,x_image,y_image,s_cntr,ismerged,x2_image,y2_image,xy_image,a_world,b_world,theta_j2000,isoarea_world,kron_radius,petro_radius,class_star,errx2_image,erry2_image,errxy_image,flux_radius_1,flux_radius_2,flux_radius_3,flux_radius_4,flux_radius_5,exptime,airmass,colorterm,airmasscolorterm,bsrms,medianskymag,moonphas,moonesb,spt_ind,s_htm20,ipac_gid,ipac_pub_date
56095.2125572,19.658216,0.07393553,27542000003637,195.707175,1.821721,2,0,5.012172e-07,39,37,37,19.66538,0.02449743,19.71588,19.71588,19.72893,19.72893,0.119732,0.119732,13484624001308,195.707178,1.821762,2754,0,56095.2144272,1192,19.658857,21.314901,27.855284,2.15,2.898846,0,131072,1,1,14875464266460,219167409,5.012172e-07,2.578948,1.0,-0.0004149129,19.99617,9.723706,0.07423592,19.51198,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,15,19.63646,19.57158,19.54979,19.54797,19.54706,19.54329,19.53285,19.53053,19.52868,19.52716,19.5259,19.52516,0.2715558,15.94673,0.5715601,0.7794362,1.550884,0.122709,19.70379,2.578948,1.0,-0.0004149129,19.99617,9.723706,0.07423592,19.51198,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,15,19.63646,19.57158,19.54979,19.54797,19.54706,19.54329,19.53285,19.53053,19.52868,19.52716,19.5259,19.52516,21.76982,0.2715558,15.94673,0.5715601,0.7794362,19.72859,1.550884,0.122709,19.70379,-0.96217130615758,-0.27058417176292,0.03178967754466,218,-0.9621713,-0.2705842,0.0317904,13484624,2,1308,1899.1986,121.13867,19.660988,0.07228734,20.799713,0.09794817,19.793547,0.07334655,19.647131,0.07809002,19.538328,0.10710483,19.523613,0.13016725,19.49025,0.11475111,99.99,-4.047905,-5.971606,1184.5476,42.0773,1157.0,1503.0,1156.957,1502.5752,4000250579,0,0.554525,0.621525,-0.011803,0.7992,0.7488,10.027512,1e-06,2.5,4.62,0.019558,0.00196,0.001984,-2e-06,0.81705,1.248278,1.924244,2.211364,2.379302,60.0,1.35,0.229072,0.0008578,0.0258482,20.181171,206.645,0.0,212013131,14875464266489,101,2015-12-31 23:59:59
55999.2588272,19.626143,0.08108837,27542000003637,195.707175,1.821721,2,0,5.012172e-07,39,37,37,19.66538,0.02449743,19.71588,19.71588,19.72893,19.72893,0.119732,0.119732,12585364001285,195.707182,1.821728,2754,0,55999.2641172,1096,19.640688,21.315805,27.837936,2.25,3.519441,0,131072,1,1,14875464266460,219167409,5.012172e-07,2.578948,1.0,-0.0004149129,19.99617,9.723706,0.07423592,19.51198,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,15,19.63646,19.57158,19.54979,19.54797,19.54706,19.54329,19.53285,19.53053,19.52868,19.52716,19.5259,19.52516,0.2715558,15.94673,0.5715601,0.7794362,1.550884,0.122709,19.70379,2.578948,1.0,-0.0004149129,19.99617,9.723706,0.07423592,19.51198,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,15,19.63646,19.57158,19.54979,19.54797,19.54706,19.54329,19.53285,19.53053,19.52868,19.52716,19.5259,19.52516,21.76982,0.2715558,15.94673,0.5715601,0.7794362,19.72859,1.550884,0.122709,19.70379,-0.96217130615758,-0.27058417176292,0.03178967754466,218,-0.9621713,-0.2705843,0.0317898,12585364,2,1285,1900.6366,135.2223,19.728798,0.07893794,20.998915,0.11220196,19.938663,0.07978977,19.734608,0.080974035,19.517834,0.10155765,19.526173,0.12581909,19.728077,0.21139726,99.99,-3.981235,-5.878022,1061.8932,39.899715,1166.0,1506.0,1165.749,1505.8779,3988153462,0,0.860773,0.662113,0.013978,0.936,0.8208,-86.49473,1e-06,2.5,6.599999,0.123107,0.002948,0.002918,2e-06,0.921557,1.43196,2.268037,2.625734,2.772079,60.0,1.7386,0.21367,0.0102973,0.0246089,20.297937,293.788,0.0,212013131,14875464266458,101,2015-12-31 23:59:59
56097.1832172,19.955359,0.088271625,27542000003637,195.707175,1.821721,2,0,5.012172e-07,39,37,37,19.66538,0.02449743,19.71588,19.71588,19.72893,19.72893,0.119732,0.119732,13498394001139,195.707133,1.8217,2754,0,56097.1849172,1194,19.954618,21.143093,27.867859,2.55,3.08218,0,131072,1,1,14875464266460,219167409,5.012172e-07,2.578948,1.0,-0.0004149129,19.99617,9.723706,0.07423592,19.51198,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,15,19.63646,19.57158,19.54979,19.54797,19.54706,19.54329,19.53285,19.53053,19.52868,19.52716,19.5259,19.52516,0.2715558,15.94673,0.5715601,0.7794362,1.550884,0.122709,19.70379,2.578948,1.0,-0.0004149129,19.99617,9.723706,0.07423592,19.51198,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,15,19.63646,19.57158,19.54979,19.54797,19.54706,19.54329,19.53285,19.53053,19.52868,19.52716,19.5259,19.52516,21.76982,0.2715558,15.94673,0.5715601,0.7794362,19.72859,1.550884,0.122709,19.70379,-0.96217130615758,-0.27058417176292,0.03178967754466,218,-0.9621715,-0.2705835,0.0317893,13498394,2,1139,1463.1747,113.0695,19.984814,0.08788477,20.93264,0.10656723,20.063828,0.08988371,19.89001,0.09416284,19.760015,0.1284819,19.712507,0.15211262,19.721102,0.15064815,99.99,-4.076266,-5.810865,1194.7083,42.062683,1153.0,1504.0,1153.3812,1504.333,4002309913,0,0.471757,0.512496,-0.063632,0.756,0.6588,35.82738,1e-06,2.5,5.28,0.778484,0.002481,0.00249,-1.7e-05,0.777782,1.129922,1.906287,2.14079,2.26508,60.0,1.2585,0.224379,0.00227045,0.0273644,20.19207,184.801,0.0,212013131,14875464266460,101,2015-12-31 23:59:59
56085.2511272,19.642439,0.121621564,27542000003637,195.707175,1.821721,2,0,5.012172e-07,39,37,37,19.66538,0.02449743,19.71588,19.71588,19.72893,19.72893,0.119732,0.119732,13418678000936,195.707167,1.821697,2754,0,56085.2538672,1182,19.63629,20.773273,27.807127,2.25,2.718217,0,131072,1,1,14875464266460,219167409,5.012172e-07,2.578948,1.0,-0.0004149129,19.99617,9.723706,0.07423592,19.51198,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,15,19.63646,19.57158,19.54979,19.54797,19.54706,19.54329,19.53285,19.53053,19.52868,19.52716,19.5259,19.52516,0.2715558,15.94673,0.5715601,0.7794362,1.550884,0.122709,19.70379,2.578948,1.0,-0.0004149129,19.99617,9.723706,0.07423592,19.51198,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,15,19.63646,19.57158,19.54979,19.54797,19.54706,19.54329,19.53285,19.53053,19.52868,19.52716,19.5259,19.52516,21.76982,0.2715558,15.94673,0.5715601,0.7794362,19.72859,1.550884,0.122709,19.70379,-0.96217130615758,-0.27058417176292,0.03178967754466,218,-0.9621714,-0.270584,0.0317893,13418678,2,936,1854.9618,201.60316,19.768148,0.101468876,20.709267,0.1269369,19.819075,0.10872217,19.66923,0.11680546,19.512905,0.15770985,19.417,0.1793084,19.420883,0.17233953,99.99,-4.470983,-6.095389,2721.625,61.942715,1160.0,1509.0,1159.9812,1509.4738,3996731986,0,0.556915,0.537111,-0.004911,0.756,0.738,73.40065,1e-06,2.922645,5.28,0.743164,0.00435,0.004346,9e-06,0.784127,1.255378,2.025404,2.416031,2.774723,60.0,1.4094,0.228546,0.00182755,0.0293381,19.239023,321.651,-2.46918,212013131,14875464266460,101,2015-12-31 23:59:59
56093.2415872,19.511858,0.06430782,27542000003637,195.707175,1.821721,2,0,5.012172e-07,39,37,37,19.66538,0.02449743,19.71588,19.71588,19.72893,19.72893,0.119732,0.119732,13468930001416,195.707148,1.82169,2754,0,56093.2436372,1190,19.503881,21.507566,27.829306,1.95,2.399286,0,131072,1,1,14875464266460,219167409,5.012172e-07,2.578948,1.0,-0.0004149129,19.99617,9.723706,0.07423592,19.51198,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,15,19.63646,19.57158,19.54979,19.54797,19.54706,19.54329,19.53285,19.53053,19.52868,19.52716,19.5259,19.52516,0.2715558,15.94673,0.5715601,0.7794362,1.550884,0.122709,19.70379,2.578948,1.0,-0.0004149129,19.99617,9.723706,0.07423592,19.51198,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,15,19.63646,19.57158,19.54979,19.54797,19.54706,19.54329,19.53285,19.53053,19.52868,19.52716,19.5259,19.52516,21.76982,0.2715558,15.94673,0.5715601,0.7794362,19.72859,1.550884,0.122709,19.70379,-0.96217130615758,-0.27058417176292,0.03178967754466,218,-0.9621715,-0.2705837,0.0317891,13468930,2,1416,2138.796,114.12941,19.518345,0.06363908,20.511229,0.07634028,19.642145,0.06309129,19.511982,0.066815704,19.389772,0.089327574,19.405884,0.11030208,19.412975,0.11593081,99.99,-3.934388,-6.243981,970.7497,38.05403,1154.0,1517.0,1154.4478,1517.1252,4000774109,0,0.502926,0.497657,0.018668,0.7272,0.702,-48.41842,1e-06,2.5,5.28,0.089246,0.001136,0.001121,4e-06,0.763411,1.184534,1.929985,2.288864,2.491378,60.0,1.4892,0.226672,0.0028929,0.0278779,20.3816,228.149,0.0,212013131,14875464266460,101,2015-12-31 23:59:59
56364.3661072,19.661829,0.058942884,27542000003637,195.707175,1.821721,2,0,5.012172e-07,39,37,37,19.66538,0.02449743,19.71588,19.71588,19.72893,19.72893,0.119732,0.119732,15443420001693,195.707152,1.821718,2754,0,56364.3713972,1439,19.650255,21.718218,28.068092,2.15,2.659624,0,131072,1,1,14875464266460,219167409,5.012172e-07,2.578948,1.0,-0.0004149129,19.99617,9.723706,0.07423592,19.51198,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,15,19.63646,19.57158,19.54979,19.54797,19.54706,19.54329,19.53285,19.53053,19.52868,19.52716,19.5259,19.52516,0.2715558,15.94673,0.5715601,0.7794362,1.550884,0.122709,19.70379,2.578948,1.0,-0.0004149129,19.99617,9.723706,0.07423592,19.51198,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,15,19.63646,19.57158,19.54979,19.54797,19.54706,19.54329,19.53285,19.53053,19.52868,19.52716,19.5259,19.52516,21.76982,0.2715558,15.94673,0.5715601,0.7794362,19.72859,1.550884,0.122709,19.70379,-0.96217130615758,-0.27058417176292,0.03178967754466,218,-0.9621714,-0.2705838,0.0317896,15443420,2,1693,2328.817,116.07085,19.652672,0.057984743,20.780853,0.075072795,19.852396,0.05744329,19.67731,0.0590384,19.534199,0.07675328,19.530914,0.0932693,19.528542,0.10282194,99.99,-3.853179,-6.259806,843.2906,35.705147,1153.0,1480.0,1152.6116,1480.0693,4015128304,0,0.571919,0.587426,0.036956,0.792,0.7452,-38.519447,1e-06,2.5,5.28,0.633332,0.001075,0.001072,1e-05,0.808791,1.271162,2.055868,2.393022,2.553366,60.0,1.191,0.217724,0.00731898,0.0233352,20.775146,161.269,0.0,212013131,14875464266460,101,2015-12-31 23:59:59
56008.2519072,19.864243,0.07691313,27542000003637,195.707175,1.821721,2,0,5.012172e-07,39,37,37,19.66538,0.02449743,19.71588,19.71588,19.72893,19.72893,0.119732,0.119732,14878634001407,195.707182,1.821701,2754,0,56008.2574772,1105,19.876812,21.40191,27.909384,2.15,2.259507,0,131072,1,1,14875464266460,219167409,5.012172e-07,2.578948,1.0,-0.0004149129,19.99617,9.723706,0.07423592,19.51198,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,15,19.63646,19.57158,19.54979,19.54797,19.54706,19.54329,19.53285,19.53053,19.52868,19.52716,19.5259,19.52516,0.2715558,15.94673,0.5715601,0.7794362,1.550884,0.122709,19.70379,2.578948,1.0,-0.0004149129,19.99617,9.723706,0.07423592,19.51198,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,15,19.63646,19.57158,19.54979,19.54797,19.54706,19.54329,19.53285,19.53053,19.52868,19.52716,19.5259,19.52516,21.76982,0.2715558,15.94673,0.5715601,0.7794362,19.72859,1.550884,0.122709,19.70379,-0.96217130615758,-0.27058417176292,0.03178967754466,218,-0.9621713,-0.2705843,0.0317893,14878634,2,1407,1633.16,111.17244,19.88599,0.07299932,20.774426,0.09026923,19.932472,0.07540536,19.841522,0.084072806,19.787844,0.12340038,19.828802,0.1583363,19.784601,0.12597227,99.99,-4.032191,-6.26883,1128.6549,41.116352,1168.0,1511.0,1167.7128,1510.9702,3989117986,0,0.485697,0.375542,-0.01787,0.7056,0.6156,80.39712,1e-06,2.5,4.62,0.960359,0.001606,0.001553,1e-06,0.694393,1.11075,1.72772,2.013932,2.205047,60.0,1.5615,0.213438,0.00874659,0.0212268,20.299902,184.266,0.0,212013131,14875464266460,101,2015-12-31 23:59:59
56364.3311472,19.698963,0.0704169,27542000003637,195.707175,1.821721,2,0,5.012172e-07,39,37,37,19.66538,0.02449743,19.71588,19.71588,19.72893,19.72893,0.119732,0.119732,15443406001531,195.70717,1.821698,2754,0,56364.3364272,1439,19.690731,21.598173,28.060421,2.35,3.283883,0,131072,1,1,14875464266460,219167409,5.012172e-07,2.578948,1.0,-0.0004149129,19.99617,9.723706,0.07423592,19.51198,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,15,19.63646,19.57158,19.54979,19.54797,19.54706,19.54329,19.53285,19.53053,19.52868,19.52716,19.5259,19.52516,0.2715558,15.94673,0.5715601,0.7794362,1.550884,0.122709,19.70379,2.578948,1.0,-0.0004149129,19.99617,9.723706,0.07423592,19.51198,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,15,19.63646,19.57158,19.54979,19.54797,19.54706,19.54329,19.53285,19.53053,19.52868,19.52716,19.5259,19.52516,21.76982,0.2715558,15.94673,0.5715601,0.7794362,19.72859,1.550884,0.122709,19.70379,-0.96217130615758,-0.27058417176292,0.03178967754466,218,-0.9621713,-0.2705841,0.0317893,15443406,2,1531,2227.7964,136.28964,19.73488,0.06861116,20.913845,0.08286453,20.001163,0.06513268,19.849031,0.06865912,19.561308,0.08029271,19.558043,0.09770648,19.993174,0.24160753,99.99,-3.849509,-6.08139,870.8344,36.32212,1154.0,1481.0,1153.6454,1481.3181,4014834570,0,0.651816,0.693546,0.032333,0.8532,0.8064,-27.814243,1e-06,2.5,7.259999,0.479771,0.00167,0.001688,3e-06,0.87583,1.380345,2.369616,2.827446,2.987283,60.0,1.2668,0.217724,0.00731898,0.0233352,20.733805,161.689,0.0,212013131,14875464266460,101,2015-12-31 23:59:59
56091.2419672,19.860964,0.083675765,27542000003637,195.707175,1.821721,2,0,5.012172e-07,39,37,37,19.66538,0.02449743,19.71588,19.71588,19.72893,19.72893,0.119732,0.119732,13456665001262,195.707179,1.821757,2754,0,56091.2441972,1188,19.85065,21.26192,27.803837,2.25,3.308222,0,131072,1,1,14875464266460,219167409,5.012172e-07,2.578948,1.0,-0.0004149129,19.99617,9.723706,0.07423592,19.51198,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,15,19.63646,19.57158,19.54979,19.54797,19.54706,19.54329,19.53285,19.53053,19.52868,19.52716,19.5259,19.52516,0.2715558,15.94673,0.5715601,0.7794362,1.550884,0.122709,19.70379,2.578948,1.0,-0.0004149129,19.99617,9.723706,0.07423592,19.51198,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,15,19.63646,19.57158,19.54979,19.54797,19.54706,19.54329,19.53285,19.53053,19.52868,19.52716,19.5259,19.52516,21.76982,0.2715558,15.94673,0.5715601,0.7794362,19.72859,1.550884,0.122709,19.70379,-0.96217130615758,-0.27058417176292,0.03178967754466,218,-0.9621713,-0.2705842,0.0317903,13456665,2,1262,1518.0104,111.34678,19.860407,0.079745516,21.022112,0.11687625,19.971994,0.08374716,19.798372,0.08777348,19.744862,0.12758851,19.684181,0.14948283,19.676086,0.12951313,99.99,-3.981534,-5.831495,1103.5204,39.966644,1155.0,1507.0,1155.4999,1506.7225,3998966879,0,0.611917,0.655379,0.063184,0.846,0.7596,-35.185886,1e-06,2.5,4.62,0.257277,0.002862,0.002883,1e-05,0.846079,1.272822,1.909371,2.110488,2.241544,60.0,1.4543,0.225697,0.00424595,0.025614,20.221722,249.967,0.0,212013131,14875464266489,101,2015-12-31 23:59:59
56095.2419572,19.644089,0.08415972,27542000003637,195.707175,1.821721,2,0,5.012172e-07,39,37,37,19.66538,0.02449743,19.71588,19.71588,19.72893,19.72893,0.119732,0.119732,13484703001127,195.707233,1.821734,2754,0,56095.2438272,1192,19.65195,21.060274,27.832565,2.55,3.12316,0,131072,1,1,14875464266460,219167409,5.012172e-07,2.578948,1.0,-0.0004149129,19.99617,9.723706,0.07423592,19.51198,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,15,19.63646,19.57158,19.54979,19.54797,19.54706,19.54329,19.53285,19.53053,19.52868,19.52716,19.5259,19.52516,0.2715558,15.94673,0.5715601,0.7794362,1.550884,0.122709,19.70379,2.578948,1.0,-0.0004149129,19.99617,9.723706,0.07423592,19.51198,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,15,19.63646,19.57158,19.54979,19.54797,19.54706,19.54329,19.53285,19.53053,19.52868,19.52716,19.5259,19.52516,21.76982,0.2715558,15.94673,0.5715601,0.7794362,19.72859,1.550884,0.122709,19.70379,-0.96217130615758,-0.27058417176292,0.03178967754466,218,-0.962171,-0.2705851,0.0317899,13484703,2,1127,1871.7382,138.04056,19.71217,0.080822766,20.981361,0.11924813,19.910955,0.08458046,19.696035,0.08531109,19.506804,0.109963134,19.639977,0.15235469,19.790442,0.23928519,99.99,-4.083516,-5.907799,1305.7089,43.627796,1155.0,1501.0,1154.948,1501.1613,4001229959,0,0.793205,0.672557,0.012269,0.9,0.828,-85.1037,1e-06,2.5,6.599999,0.468898,0.003154,0.003099,6e-06,0.907778,1.386827,2.176428,2.489939,2.635202,60.0,1.5336,0.229072,0.0008578,0.0258482,20.061817,206.322,0.0,212013131,14875464266493,101,2015-12-31 23:59:59
