oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
475304200020726,47829365,2458232.7992361854,58232.2936574,19.5248718,0.12836203,0,zi,195.7071523,1.8216418,0.533999979,-0.116999999,20180424293391,475,4.0,2.0,20.5599995,25.4748726,0.0229706932,0.189405963,1.23531036e-05,30,1.14300001,2
475304200020726,48933723,2458243.8423648602,58243.3372338,19.4071484,0.118818842,0,zi,195.7071721,1.8217252,0.791999996,0.075000003,20180505337211,475,4.0,2.0,20.2700005,25.4651489,0.0261754356,0.182563588,1.56302231e-05,30,1.29200006,2
475304200020726,51323218,2458267.7357849623,58267.2321875,19.5893154,0.13373214,0,zi,195.707042,1.8217351,0.569999993,0.0340000018,20180529231620,475,4.0,2.0,20.0900002,25.4263153,0.03231287,0.184876338,2.53197213e-05,30,1.17799997,2
475304200020726,52416949,2458278.6721844072,58278.1694907,19.9283714,0.16244857,0,zi,195.7068657,1.8218621,0.560000002,0.289000005,20180609169294,475,4.0,2.0,19.6100006,25.4983711,0.0376608931,0.170146137,3.32648997e-05,30,1.14499998,2
475304200020726,52918170,2458283.6839503017,58283.1817014,19.6085186,0.135348052,0,zi,195.7070651,1.8215676,0.973999977,0.128999993,20180614181690,475,4.0,2.0,20.5400009,25.4635181,0.0241021961,0.19160673,1.35456376e-05,30,1.16799998,2
475304200020726,53418782,2458288.6896139556,58288.1878241,19.894228,0.159615949,0,zi,195.7071156,1.8216193,1.15900004,0.184,20180619187789,475,4.0,2.0,20.3299999,25.4572277,0.0250688642,0.185270444,1.48721256e-05,30,1.20599997,2
475304200020726,79343931,2458547.9444314353,58547.4393171,19.8108883,0.152582273,0,zi,195.7070642,1.8216539,0.584999979,0.0460000001,20190305439282,475,4.0,2.0,20.6700001,25.4428883,0.0213198438,0.193112865,1.02602826e-05,30,1.14600003,2
475304200020726,81935127,2458573.857150005,58573.3512731,19.9488354,0.164126873,0,zi,195.7070893,1.8216121,0.935000002,-0.152999997,20190331351273,475,4.0,2.0,20.5599995,25.400835,0.0223305449,0.185863644,1.14911827e-05,30,1.14199996,2
475304200020726,82727321,2458581.779104498,58581.2732176,19.6853065,0.141862184,0,zi,195.7071132,1.8216132,0.836000025,-0.185000002,20190408273218,475,4.0,2.0,20.4599991,25.4023056,0.0200143792,0.18614842,9.15448709e-06,30,1.22300005,2
475304200020726,85325366,2458607.758863983,58607.253669,19.8224258,0.153563127,0,zi,195.7070525,1.8217095,0.698000014,0.162,20190504253588,475,4.0,2.0,20.5300007,25.379425,0.0226168036,0.18034409,1.22691354e-05,30,1.14300001,2
475304200020726,85815076,2458612.6557123903,58612.1507639,19.5517559,0.130591571,0,zi,195.7070688,1.8216351,0.344000012,-0.0680000037,20190509150764,475,4.0,2.0,20.4899998,25.3437557,0.0254273154,0.189935267,1.47621377e-05,30,1.38100004,2
475304200020726,86219078,2458616.6955072954,58616.190787,19.9665146,0.165563196,0,zi,195.7070749,1.8216226,0.352999985,0.00800000038,20190513190787,475,4.0,2.0,20.3400002,25.3345146,0.0236311499,0.182157427,1.27639878e-05,30,1.19000006,2
475304200020726,87417065,2458628.6745835734,58628.1706597,19.9443703,0.163762122,0,zi,195.7070148,1.821597,0.853999972,-0.0280000009,20190525170660,475,4.0,2.0,20.5900002,25.3533707,0.0243652631,0.184129491,1.38256801e-05,30,1.16700006,2
475304200020726,88116337,2458635.666765459,58635.1633796,19.5371819,0.129380852,0,zi,195.7070849,1.8216214,0.876999974,0.00300000003,20190601163380,475,4.0,2.0,20.6399994,25.370182,0.0316218659,0.182275787,2.37854074e-05,30,1.15199995,2
475304200020726,88519005,2458639.6931130537,58639.1900579,19.729538,0.145638287,0,zi,195.7071193,1.8216648,0.737999976,-0.0780000016,20190605190058,475,4.0,2.0,20.9400005,25.3185387,0.0262405034,0.186684042,1.6252412e-05,30,1.14699996,2
475304200020726,89923914,2458653.7409521053,58653.2391435,19.8369331,0.154793978,0,zi,195.7070383,1.821793,0.596000016,-0.0270000007,20190619239144,475,4.0,2.0,19.9899998,25.3219337,0.0295325294,0.190792978,1.98110847e-05,30,1.41400003,2
475304200020726,143554659,2459190.0440236162,59189.5465972,19.5441551,0.129959583,0,zi,195.7071165,1.8217244,0.66900003,-0.0689999983,20201206546458,475,4.0,2.0,20.3299999,25.5171547,0.0292565543,0.178466588,1.93660326e-05,30,1.54299998,2
475304200020726,145054002,2459205.0388431405,59204.5400231,19.6513119,0.138969541,0,zi,195.7070712,1.8216395,0.940999985,0.0769999996,20201221540023,475,4.0,2.0,20.8799992,25.5203114,0.0266618207,0.184453279,1.60372147e-05,30,1.32099998,2
475304200020726,146248295,2459216.982953193,59216.4829514,19.5250759,0.128378883,0,zi,195.7069784,1.8217089,0.703999996,-0.312999994,20210102482951,475,4.0,2.0,20.0499992,25.5120754,0.0270072892,0.189508781,1.6633152e-05,30,1.46399999,2
475304200020726,147352469,2459228.0258018584,59227.5246991,19.7889023,0.150709197,0,zi,195.7070945,1.8213594,0.648000002,-0.0949999988,20210113524688,475,4.0,2.0,19.8400002,25.417902,0.0313405581,0.180823788,2.21742102e-05,30,1.17299998,2
475304200020726,147846228,2459232.963866322,59232.4622801,19.7863941,0.150495231,0,zi,195.7071143,1.8216108,0.252999991,0.0189999994,20210118462280,475,4.0,2.0,21.0,25.5063934,0.0216322914,0.186928213,1.09364173e-05,30,1.32700002,2
