MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
57922.557742,20.314,0.54,27,15,o,0,1.46,318.17044,-42.50001,1639.38,4853.26,2.9,2.79,-79.3,-0.475,18.99,20.09,01a57922o0641o
57922.565352,19.917,0.558,39,22,o,0,1.2,318.17044,-42.50001,9120.74,5495.34,3.26,3.07,-60.1,-0.446,18.95,20.04,01a57922o0656o
57922.567814,21.068,1.603,14,22,o,0,1.14,318.17044,-42.50001,9065.06,5425.78,3.35,3.18,-72.1,-0.437,18.89,20.08,01a57922o0661o
57922.579045,-21.596,2.095,-8,18,o,0,1.24,318.17044,-42.50001,1683.05,4695.82,3.16,2.98,-74.1,-0.456,18.88,20.05,01a57922o0683o
57923.564898,-16.343,1.316,-1054,1386,o,0,1.13,318.17044,-42.50001,7031.66,5203.23,2.08,1.71,6.5,-0.461,14.89,16.65,02a57923o0640o
57930.537701,19.517,0.671,57,38,o,0,0.62,318.17044,-42.50001,909.22,4318.08,6.59,6.27,-62.2,-0.342,18.36,20.51,01a57930o0575o
57930.548269,-21.083,1.889,-13,25,o,0,0.87,318.17044,-42.50001,9841.16,6035.68,5.3,4.82,-54.1,-0.375,18.68,20.6,01a57930o0596o
57930.560243,19.269,0.417,71,30,o,0,0.91,318.17044,-42.50001,9792.25,6005.13,6.3,5.75,-43.9,-0.36,18.54,20.64,01a57930o0619o
57930.562222,-19.32,0.377,-68,26,o,0,0.87,318.17044,-42.50001,111.13,6200.61,6.3,5.19,-17.1,-0.309,18.55,20.68,01a57930o0623o
57930.569562,19.745,0.521,46,24,o,0,1.17,318.17044,-42.50001,60.31,6154.33,4.43,3.91,-43.3,-0.379,18.92,20.69,01a57930o0638o
57930.571029,20.562,0.962,22,21,o,0,1.01,318.17044,-42.50001,9786.12,6163.11,4.94,4.35,-58.9,-0.37,18.8,20.62,01a57930o0641o
57930.580363,-20.427,1.358,-24,33,o,0,0.99,318.17044,-42.50001,41.02,6317.36,5.26,4.68,-38.5,-0.351,18.73,20.67,01a57930o0659o
57934.530974,22.093,3.071,5,16,o,0,0.87,318.17044,-42.50001,3036.75,6998.48,3.05,2.82,-73.0,-0.453,19.2,20.57,01a57934o0597o
57934.541083,21.412,1.429,10,14,o,0,1.28,318.17044,-42.50001,7724.35,3361.86,3.05,2.97,85.9,-0.445,19.18,20.59,01a57934o0617o
57934.547945,21.905,2.182,6,14,o,0,1.13,318.17044,-42.50001,7657.92,3310.63,3.0,2.91,-83.7,-0.449,19.2,20.63,01a57934o0631o
57934.558235,-21.388,1.275,-10,13,o,0,1.14,318.17044,-42.50001,7652.46,3468.72,3.12,3.06,-54.6,-0.442,19.25,20.74,01a57934o0651o
57938.512868,19.693,0.404,48,20,o,0,1.2,318.17044,-42.50001,2670.48,7118.55,3.44,2.83,-47.7,-0.454,18.86,20.0,01a57938o0449o
57938.518297,20.989,1.122,15,16,o,0,1.42,318.17044,-42.50001,2638.9,7060.57,3.4,2.8,-51.6,-0.453,18.96,20.13,01a57938o0460o
57938.529651,20.423,0.602,25,15,o,0,1.16,318.17044,-42.50001,2703.8,7095.33,3.32,2.77,-46.6,-0.46,19.19,20.54,01a57938o0482o
57938.530142,21.515,1.617,9,14,o,0,1.09,318.17044,-42.50001,2717.69,6977.49,3.22,2.72,-48.2,-0.466,19.21,20.55,01a57938o0483o
57940.473067,-20.451,1.608,-24,38,o,0,1.04,318.17044,-42.50001,9268.33,6690.44,2.3,2.07,17.2,-0.511,18.44,18.89,02a57940o0424o
57940.482331,20.659,1.87,20,37,o,0,1.8,318.17044,-42.50001,9280.98,6731.04,2.28,2.07,16.9,-0.471,18.41,18.86,02a57940o0443o
57948.498605,-21.901,5.462,-6,34,o,0,1.6,318.17044,-42.50001,340.96,3621.04,2.5,2.19,69.5,-0.495,18.21,19.08,02a57948o0515o
57948.510801,-20.553,1.436,-22,31,o,0,1.35,318.17044,-42.50001,328.23,3580.12,2.4,2.21,48.0,-0.457,18.39,19.17,02a57948o0540o
57948.514217,19.567,0.854,54,46,o,0,1.13,318.17044,-42.50001,10085.54,3644.73,2.77,2.44,87.0,-0.476,18.13,18.96,02a57948o0547o
57948.520407,-24.591,61.333,0,32,o,0,0.96,318.17044,-42.50001,386.4,3656.29,2.41,2.12,22.1,-0.473,18.47,19.21,02a57948o0559o
57948.523332,-21.525,4.303,-9,38,o,0,1.09,318.17044,-42.50001,10056.35,3609.34,2.68,2.33,-89.3,-0.47,18.23,19.08,02a57948o0565o
57948.530186,-21.845,6.519,-7,43,o,0,0.78,318.17044,-42.50001,10116.12,3685.74,2.64,2.32,-87.3,-0.501,18.38,19.12,02a57948o0579o
