MasterID,Mag,Magerr,RA,Dec,MJD,Blend
3043117041991,19.097,0.328,318.17037,-42.50000,53588.63141,0
3043117041991,20.102,0.576,318.16970,-42.49991,53588.64229,0
3043117041991,20.035,0.560,318.17072,-42.49979,53588.65288,0
3043117041991,20.016,0.554,318.17060,-42.49975,53588.66377,0
3043117041991,19.531,0.587,318.17043,-42.49982,53555.59257,0
3043117041991,20.027,0.949,318.17053,-42.49982,53676.42615,0
3043117041991,19.459,0.465,318.17062,-42.49973,53694.45598,0
3043117041991,19.295,0.425,318.17051,-42.49979,53694.46910,0
3043117041991,19.295,0.628,318.17060,-42.50001,53644.45948,0
3043117041991,19.329,0.618,318.17021,-42.49967,53620.49737,0
3043117041991,19.545,0.398,318.17031,-42.49994,53834.79285,0
3043117041991,19.107,0.356,318.17066,-42.49984,53959.73999,0
3043117041991,19.687,0.634,318.17040,-42.49972,53970.54271,0
3043117041991,19.385,0.531,318.17066,-42.50007,53970.55141,0
3043117041991,20.137,0.834,318.17045,-42.49987,53970.56015,0
3043117041991,19.748,0.658,318.17085,-42.49982,53970.56887,0
3043117041991,19.022,0.430,318.17069,-42.50000,53978.47798,0
3043117041991,19.014,0.425,318.17049,-42.49967,53942.60584,0
3043117041991,19.263,0.490,318.17058,-42.49985,53942.61579,0
3043117041991,19.444,0.544,318.17062,-42.49982,53942.62610,0
3043117041991,19.273,0.491,318.17045,-42.49975,53942.63648,0
3043117041991,19.504,0.550,318.17044,-42.49969,53913.68093,0
3043117041991,19.684,0.611,318.17048,-42.49994,53913.68981,0
3043117041991,20.287,0.876,318.17084,-42.50002,53913.69867,0
3043117041991,20.032,0.752,318.17060,-42.49986,53913.70751,0
3043117041991,20.066,0.707,318.17070,-42.49986,53876.70681,0
3043117041991,19.881,0.497,318.17049,-42.50004,53886.65997,0
3043117041991,19.564,0.692,318.17071,-42.49989,54061.47248,0
3043117041991,19.558,0.376,318.17042,-42.50018,54003.54220,0
3043117041991,20.409,0.617,318.17077,-42.49989,54003.55549,0
3043117041991,19.619,0.604,318.17043,-42.49970,54008.41232,0
3043117041991,19.863,0.785,318.17031,-42.49959,54207.74492,0
3043117041991,18.457,0.346,318.17103,-42.50004,54207.76209,0
3043117041991,19.318,0.385,318.17061,-42.49974,54320.61486,0
3043117041991,19.805,0.509,318.17057,-42.49990,54320.61996,0
3043117041991,19.817,0.514,318.17051,-42.49946,54320.62503,0
3043117041991,20.134,0.618,318.17041,-42.49986,54320.63007,0
3043117041991,18.964,0.317,318.17039,-42.49985,54321.64498,0
3043117041991,19.132,0.348,318.17066,-42.49981,54321.65832,0
3043117041991,18.984,0.321,318.17091,-42.49985,54321.67170,0
3043117041991,19.277,0.379,318.17062,-42.49981,54321.68500,0
