ra,dec,mjd,w1mpro,w1sigmpro,w2mpro,w2sigmpro
318.1702233,-42.5001838,55312.857507,16.832,0.453,15.015,0.315
318.1703786,-42.4999837,55313.254419,15.639,0.164,15.214,0.378
318.1705416,-42.4997729,55313.320635,14.487,0.067,13.847,0.121
318.170417,-42.4999736,55313.386724,14.96,0.105,14.209,0.157
318.169998,-42.4997017,55313.452939,15.941,0.204,14.76,
318.1703579,-42.4997813,55313.717548,15.487,0.144,14.421,0.22
318.1711351,-42.4998359,55313.849852,15.749,0.195,14.995,0.301
318.1707673,-42.5002807,55313.982156,16.591,0.367,14.908,0.244
318.1706121,-42.4998315,56777.90497332,15.484,0.14,14.885,
318.1709529,-42.5000864,56777.97067978,16.227,0.346,14.81,
318.1703577,-42.5000211,56778.03651355,16.379,0.307,14.8,0.314
318.1705642,-42.4998697,56778.2340149,16.002,0.235,15.378,0.519
318.1709173,-42.4997987,56778.49722269,16.346,0.33,14.868,0.414
318.1701995,-42.4999264,56778.62889024,16.719,0.448,15.28,0.435
318.1703771,-42.500239,56956.86084346,17.017,0.513,14.742,0.291
318.1702876,-42.5004087,56957.12379628,16.162,0.396,15.501,0.543
318.170424,-42.4999848,56957.25533628,16.329,0.286,14.276,0.224
318.1702809,-42.5001561,56961.46347551,15.901,0.191,14.643,0.331
318.1707816,-42.5001577,57139.47164525,16.563,0.485,14.673,0.267
318.1701869,-42.4999129,57139.6029309,15.368,0.135,14.57,0.253
318.170487,-42.5002143,57139.7342166,16.351,,15.151,0.412
318.1707514,-42.5000886,57139.79992313,15.828,0.205,14.681,0.255
318.1703089,-42.4999863,57139.86550234,15.92,0.266,14.818,0.329
318.1705299,-42.5002559,57140.12807373,16.491,0.32,14.772,0.281
318.1703575,-42.5000743,57140.45622427,15.527,0.273,14.606,0.295
318.170509,-42.4999354,57315.97613163,16.191,0.267,15.374,
318.1703393,-42.4997558,57316.1074173,15.913,0.202,14.785,0.41
318.1706681,-42.4999029,57316.23857556,16.3,0.312,14.607,0.278
318.170915,-42.5004125,57319.12431192,16.634,0.386,14.19,0.172
318.1704362,-42.5000699,57319.18989104,15.981,0.232,14.697,0.257
318.1708083,-42.4999889,57319.25547017,15.6,0.154,15.382,0.497
